Experiment: custom | Dataset: cifar100
------------------------------------------------------------

Class-wise Metrics:
        Class  Precision   Recall  F1-Score  Support
        apple   0.173913 0.082474  0.111888       97
aquarium_fish   0.062500 0.020408  0.030769       98
         baby   0.000000 0.000000  0.000000       98
         bear   0.000000 0.000000  0.000000       96
       beaver   0.000000 0.000000  0.000000       95
          bed   0.000000 0.000000  0.000000       98
          bee   0.153846 0.020202  0.035714       99
       beetle   0.000000 0.000000  0.000000       97
      bicycle   0.000000 0.000000  0.000000       98
       bottle   0.000000 0.000000  0.000000       97
         bowl   0.000000 0.000000  0.000000       98
          boy   0.000000 0.000000  0.000000       97
       bridge   0.066265 0.112245  0.083333       98
          bus   0.170732 0.072165  0.101449       97
    butterfly   0.073826 0.114583  0.089796       96
        camel   0.000000 0.000000  0.000000       99
          can   0.000000 0.000000  0.000000       98
       castle   0.176991 0.202020  0.188679       99
  caterpillar   0.075269 0.072165  0.073684       97
       cattle   0.000000 0.000000  0.000000       98
        chair   0.074968 0.595960  0.133183       99
   chimpanzee   0.029412 0.010204  0.015152       98
        clock   0.000000 0.000000  0.000000      100
        cloud   0.082051 0.326531  0.131148       98
    cockroach   0.048077 0.052632  0.050251       95
        couch   0.000000 0.000000  0.000000       99
          cra   0.071429 0.020202  0.031496       99
    crocodile   0.027778 0.020833  0.023810       96
          cup   0.000000 0.000000  0.000000       99
     dinosaur   0.000000 0.000000  0.000000       92
      dolphin   0.083333 0.406250  0.138298       96
     elephant   0.000000 0.000000  0.000000       95
     flatfish   0.000000 0.000000  0.000000       97
       forest   0.000000 0.000000  0.000000       96
          fox   0.032787 0.020202  0.025000       99
         girl   0.000000 0.000000  0.000000      100
      hamster   0.050898 0.173469  0.078704       98
        house   0.051613 0.082474  0.063492       97
     kangaroo   0.000000 0.000000  0.000000       96
     keyboard   0.013514 0.020619  0.016327       97
         lamp   0.000000 0.000000  0.000000       96
   lawn_mower   0.444444 0.040816  0.074766       98
      leopard   0.054931 0.453608  0.097996       97
         lion   0.122449 0.060606  0.081081       99
       lizard   0.021053 0.020202  0.020619       99
      lobster   0.166667 0.010638  0.020000       94
          man   0.096154 0.051546  0.067114       97
   maple_tree   0.250000 0.030000  0.053571      100
   motorcycle   0.093923 0.171717  0.121429       99
     mountain   0.144928 0.104167  0.121212       96
        mouse   0.027027 0.010417  0.015038       96
     mushroom   0.000000 0.000000  0.000000       96
     oak_tree   0.115000 0.704082  0.197708       98
       orange   0.299517 0.645833  0.409241       96
       orchid   0.153846 0.121212  0.135593       99
        otter   0.000000 0.000000  0.000000       97
    palm_tree   0.000000 0.000000  0.000000       97
         pear   0.000000 0.000000  0.000000       97
 pickup_truck   0.000000 0.000000  0.000000       96
    pine_tree   0.019512 0.041237  0.026490       97
        plain   0.254545 0.285714  0.269231       98
        plate   0.031496 0.040404  0.035398       99
        poppy   0.048193 0.041237  0.044444       97
    porcupine   0.000000 0.000000  0.000000       99
       possum   0.000000 0.000000  0.000000       97
       rabbit   0.000000 0.000000  0.000000       97
      raccoon   0.333333 0.020619  0.038835       97
          ray   0.055556 0.010101  0.017094       99
         road   0.000000 0.000000  0.000000       98
       rocket   0.000000 0.000000  0.000000       96
